,parent,child,lambda_val,child_size
21,838,839,1.599270048,810
95,839,841,1.962008832,729
112,841,845,1.977147081,718
149,845,847,2.088705276,690
174,847,849,2.172409703,665
200,849,851,2.287207508,614
204,851,853,2.296165233,609
222,853,857,2.314343281,600
244,857,861,2.338379198,589
263,861,863,2.351978261,583
287,863,865,2.410304829,567
297,865,867,2.429683318,554
321,867,869,2.470239715,541
337,869,871,2.523748078,529
380,871,873,2.68937875,487
386,873,875,2.692249528,479
410,875,877,2.764382778,461
420,877,879,2.78578106,453
422,879,881,2.78609564,445
425,881,883,2.788434089,420
457,883,891,2.902608421,388
463,891,893,2.902608421,338
492,893,899,2.904867968,333
498,899,903,2.908118707,329
516,903,907,2.914743335,324
525,907,909,2.916363654,290
546,909,913,2.924146759,285
638,913,923,3.031952102,149
642,923,925,3.043651537,142
649,925,927,3.065361875,129
639,913,924,3.031952102,126
657,927,931,3.069336811,120
664,924,933,3.281569813,110
721,931,945,3.148620401,86
672,933,935,3.322610492,61
770,945,952,3.545448014,52
464,891,894,2.902608421,50
673,933,936,3.322610492,49
471,894,896,2.909484412,47
687,936,939,4.065883083,38
875,952,973,4.630821436,37
201,849,852,2.287207508,36
483,896,897,2.910386844,36
526,907,910,2.916363654,34
843,935,967,9.424809225,33
494,897,901,2.968622225,32
717,939,944,4.737222906,32
769,945,951,3.545448014,30
722,931,946,3.148620401,28
726,944,947,4.913572379,27
458,883,892,2.902608421,26
882,973,975,4.850442799,26
426,881,884,2.788434089,25
536,910,912,2.968962644,25
776,951,955,3.626232864,25
214,852,855,2.791711733,24
765,946,949,3.361313398,18
795,955,961,3.937781183,18
870,967,971,9.663382031,17
96,839,842,1.962008832,16
437,884,886,2.979243409,15
556,901,915,3.738448772,15
871,967,972,9.663382031,15
665,924,934,3.281569813,14
650,925,928,3.065361875,13
774,947,953,10.09940718,13
225,855,860,3.052345311,12
844,935,968,9.424809225,12
484,896,898,2.910386844,11
580,912,920,3.762287994,11
883,973,976,4.850442799,11
224,855,859,3.052345311,10
288,863,866,2.410304829,10
557,901,916,3.738448772,10
579,912,919,3.762287994,10
688,936,940,4.065883083,10
775,947,954,10.09940718,10
779,949,957,3.644267428,10
963,975,979,18.58102472,10
175,847,850,2.172409703,9
215,852,856,2.791711733,9
298,865,868,2.429683318,9
436,884,885,2.979243409,9
535,910,911,2.968962644,9
558,892,917,4.114725214,9
658,927,932,3.069336811,9
836,961,966,15.25348443,9
98,842,843,1.999221152,8
99,842,844,1.999221152,8
245,857,862,2.338379198,8
423,879,882,2.78609564,8
681,934,937,5.035614123,8
885,971,977,13.07496205,8
886,971,978,13.07496205,8
22,838,840,1.599270048,7
150,845,848,2.088705276,7
455,886,889,3.273572462,7
559,892,918,4.114725214,7
591,915,922,6.361854694,7
643,923,926,3.043651537,7
766,946,950,3.361313398,7
780,949,958,3.644267428,7
876,952,974,4.630821436,7
113,841,846,1.977147081,6
322,867,870,2.470239715,6
387,873,876,2.692249528,6
456,886,890,3.273572462,6
794,954,960,42.34660313,6
796,955,962,3.937781183,6
800,957,964,3.794788651,6
835,961,965,15.25348443,6
223,853,858,2.314343281,5
381,871,874,2.68937875,5
411,875,878,2.764382778,5
421,877,880,2.78578106,5
514,898,906,3.813062566,5
682,934,938,5.035614123,5
704,940,941,6.384558829,5
727,944,948,4.913572379,5
777,951,956,3.626232864,5
964,975,980,18.58102472,5
205,851,854,2.296165233,4
338,869,872,2.523748078,4
495,897,902,2.968622225,4
499,899,904,2.908118707,4
513,898,905,3.813062566,4
517,903,908,2.914743335,4
547,909,914,2.924146759,4
590,915,921,6.361854694,4
652,926,930,3.043651537,4
705,940,942,6.384558829,4
716,939,943,4.737222906,4
264,861,864,2.351978261,3
438,882,887,4.366665001,3
439,882,888,4.366665001,3
470,894,895,2.909484412,3
493,893,900,2.904867968,3
651,926,929,3.043651537,3
793,954,959,42.34660313,3
799,957,963,3.794788651,3
849,965,969,49.36449874,3
850,965,970,49.36449874,3
0,838,70,1.250345504,1
1,838,385,1.268790441,1
2,838,290,1.303024622,1
3,838,259,1.351174154,1
4,838,372,1.365572042,1
5,838,321,1.372843979,1
6,838,213,1.374345992,1
7,838,174,1.394287956,1
8,838,268,1.420813511,1
9,838,187,1.424107434,1
10,838,185,1.441712165,1
11,838,605,1.468772291,1
12,838,38,1.472023146,1
13,838,270,1.516615206,1
14,838,338,1.524654796,1
15,838,565,1.544894648,1
16,838,590,1.554649916,1
17,838,75,1.554830301,1
18,838,599,1.566352672,1
19,838,562,1.588277138,1
20,838,747,1.594418041,1
23,839,709,1.604765126,1
24,840,803,2.176037155,1
