parent,child,lambda_val,child_size
838,839,1.599270048,810
839,841,1.962008832,729
841,845,1.977147081,718
845,847,2.088705276,690
847,849,2.172409703,665
849,851,2.287207508,614
851,853,2.296165233,609
853,857,2.314343281,600
857,861,2.338379198,589
861,863,2.351978261,583
863,865,2.410304829,567
865,867,2.429683318,554
867,869,2.470239715,541
869,871,2.523748078,529
871,873,2.68937875,487
873,875,2.692249528,479
875,877,2.764382778,461
877,879,2.78578106,453
879,881,2.78609564,445
881,883,2.788434089,420
883,891,2.902608421,388
891,893,2.902608421,338
893,899,2.904867968,333
899,903,2.908118707,329
903,907,2.914743335,324
907,909,2.916363654,290
909,913,2.924146759,285
913,923,3.031952102,149
923,925,3.043651537,142
925,927,3.065361875,129
913,924,3.031952102,126
927,931,3.069336811,120
924,933,3.281569813,110
931,945,3.148620401,86
933,935,3.322610492,61
945,952,3.545448014,52
891,894,2.902608421,50
933,936,3.322610492,49
894,896,2.909484412,47
936,939,4.065883083,38
952,973,4.630821436,37
849,852,2.287207508,36
896,897,2.910386844,36
907,910,2.916363654,34
935,967,9.424809225,33
897,901,2.968622225,32
939,944,4.737222906,32
945,951,3.545448014,30
931,946,3.148620401,28
944,947,4.913572379,27
883,892,2.902608421,26
973,975,4.850442799,26
881,884,2.788434089,25
910,912,2.968962644,25
951,955,3.626232864,25
852,855,2.791711733,24
946,949,3.361313398,18
955,961,3.937781183,18
967,971,9.663382031,17
839,842,1.962008832,16
884,886,2.979243409,15
901,915,3.738448772,15
967,972,9.663382031,15
924,934,3.281569813,14
925,928,3.065361875,13
947,953,10.09940718,13
855,860,3.052345311,12
935,968,9.424809225,12
896,898,2.910386844,11
912,920,3.762287994,11
973,976,4.850442799,11
855,859,3.052345311,10
863,866,2.410304829,10
901,916,3.738448772,10
912,919,3.762287994,10
936,940,4.065883083,10
947,954,10.09940718,10
949,957,3.644267428,10
975,979,18.58102472,10
847,850,2.172409703,9
852,856,2.791711733,9
865,868,2.429683318,9
884,885,2.979243409,9
910,911,2.968962644,9
892,917,4.114725214,9
927,932,3.069336811,9
961,966,15.25348443,9
842,843,1.999221152,8
842,844,1.999221152,8
